name,price,protein,age_category,description,stock,image_url
BR11,Rp 450.000,21%,Starter (0-4 weeks),Cocok untuk anak ayam (DOC) fase awal/starter. Membantu pertumbuhan tulang dan daging yang cepat.,72,
BR12,Rp 447.500,19%,Grower (4-8 weeks),Cocok untuk ayam fase pembesaran (grower). Menjaga stamina dan pembentukan postur.,120,
BR12G,Rp 437.500,19%,Grower (4-8 weeks),Cocok untuk ayam fase pembesaran (grower). Menjaga stamina dan pembentukan postur.,45,
510/DOC,Rp 472.500,23%,Starter (0-4 weeks),Cocok untuk anak ayam (DOC) fase awal/starter. Membantu pertumbuhan tulang dan daging yang cepat.,110,
511,Rp 472.500,21-23%,Starter (0-4 weeks),Cocok untuk anak ayam (DOC) fase awal/starter. Membantu pertumbuhan tulang dan daging yang cepat.,95,
512,Rp 467.500,19%,Grower (4-8 weeks),Cocok untuk ayam fase pembesaran (grower). Menjaga stamina dan pembentukan postur.,75,
511 B,Rp 450.000,21-23%,Starter (0-4 weeks),Cocok untuk anak ayam (DOC) fase awal/starter. Membantu pertumbuhan tulang dan daging yang cepat.,60,
512 B,Rp 447.500,19%,Grower (4-8 weeks),Cocok untuk ayam fase pembesaran (grower). Menjaga stamina dan pembentukan postur.,130,
594,Rp 462.500,19%,All Ages/General,Pakan unggas berkualitas tinggi untuk berbagai fase.,25,
582 K,Rp 240.000,14%,All Ages/General,Pakan unggas berkualitas tinggi untuk berbagai fase.,140,
324 (PETELUR),Rp 370.000,18.5%,Layer (18+ weeks),Pakan khusus ayam petelur (layer). Meningkatkan kualitas cangkang dan kuantitas telur.,90,
144,Rp 495.000,38%,All Ages/General,Pakan unggas berkualitas tinggi untuk berbagai fase.,10,
152,Rp 650.000,36%,All Ages/General,Pakan unggas berkualitas tinggi untuk berbagai fase.,55,
551,Rp 520.000,17%,All Ages/General,Pakan unggas berkualitas tinggi untuk berbagai fase.,115,
520S,Rp 437.500,20%,All Ages/General,Pakan unggas berkualitas tinggi untuk berbagai fase.,70,
521,Rp 387.500,19%,All Ages/General,Pakan unggas berkualitas tinggi untuk berbagai fase.,100,
BR 11+,Rp 440.000,21%,Starter (0-4 weeks),Cocok untuk anak ayam (DOC) fase awal/starter. Membantu pertumbuhan tulang dan daging yang cepat.,80,
112 KONST BROILER,Rp 652.500,38%,Starter (0-4 weeks),Cocok untuk anak ayam (DOC) fase awal/starter. Membantu pertumbuhan tulang dan daging yang cepat.,40,
124 P,Rp 432.500,36%,Layer (18+ weeks),Pakan khusus ayam petelur (layer). Meningkatkan kualitas cangkang dan kuantitas telur.,134,
CHOI / DOC,Rp 420.000,22-24%,Starter (0-4 weeks),Cocok untuk anak ayam (DOC) fase awal/starter. Membantu pertumbuhan tulang dan daging yang cepat.,50,
BPS / DOC,Rp 440.000,22%,Starter (0-4 weeks),Cocok untuk anak ayam (DOC) fase awal/starter. Membantu pertumbuhan tulang dan daging yang cepat.,105,
295 (PETELUR),Rp 362.500,17.5%,Layer (18+ weeks),Pakan khusus ayam petelur (layer). Meningkatkan kualitas cangkang dan kuantitas telur.,30,
BRO 1 ,Rp 435.000,21%,Starter (0-4 weeks),Cocok untuk anak ayam (DOC) fase awal/starter. Membantu pertumbuhan tulang dan daging yang cepat.,125,
CP 51,Rp 355.000,17%,Layer (18+ weeks),Pakan khusus ayam petelur (layer). Meningkatkan kualitas cangkang dan kuantitas telur.,65,
EH 201 BEBEK,Rp 370.000,18%,Bebek/Duck,Pakan khusus untuk bebek/itik.,20,
EH 202 A BEBEK,Rp 355.000,16%,Bebek/Duck,Pakan khusus untuk bebek/itik.,145,
EH 303 (BEBEK TELUR),Rp 364.000,18%,Bebek/Duck,Pakan khusus untuk bebek/itik. Sangat cocok untuk memaksimalkan produksi telur bebek.,15,
EH 811 KONSENTRAT,Rp 440.000,38%,All Ages/General,Konsentrat tinggi protein sehingga perlu dicampur dengan bahan lain.,85,
312 (PUYUH),Rp 365.000,20%,Puyuh/Quail,Pakan khusus puyuh untuk pertumbuhan dan produksi.,35,
711 LAYER PRODUKSI,Rp 350.000,17.5%,Layer (18+ weeks),Pakan khusus ayam petelur (layer). Meningkatkan kualitas cangkang dan kuantitas telur.,150,
EH 710 LAYER,Rp 350.000,15%,Layer (18+ weeks),Pakan khusus ayam petelur (layer). Meningkatkan kualitas cangkang dan kuantitas telur.,12,
